sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Albanian:SouthWest3,0.119514,0.139128,0.018856,-0.016473,0.019388,-0.000558,0,0.000462,0.00409,0.018224,-0.001786,0.001948,-0.003122,0.000275,-0.015472,0.006099,0.026338,0.00076,0.005154,0.001876,-0.01123,-0.000618,0.006286,0.004579,-0.001437
Albanian:WestKosovo1,0.121791,0.142174,0.026021,-0.000646,0.032314,-0.007251,0.00611,0.006,-0.000614,0.020957,0.001786,0.004196,-0.003568,0.010735,-0.019815,0.00358,0.011474,-0.001774,0.008673,-0.004752,-0.011105,0.00371,-0.001602,0.003374,-0.002634
Alevi_Dersim:Alevi_Dersim01,0.093335,0.1046,-0.056191,-0.034884,-0.041546,-0.006972,0.00611,0.001385,-0.027406,-0.006196,0.005521,0.002248,-0.005203,-0.003165,-0.001357,0.003845,-0.005737,0.00114,0.001383,-0.013256,-0.00574,-0.00643,0.002095,0.003735,0.009101
Alevi_Dersim:Alevi_Dersim02,0.104717,0.116786,-0.05242,-0.039729,-0.03139,-0.006972,0.004935,-0.008307,-0.03211,-0.00656,0.001461,-0.001049,-0.001635,-0.003303,0.001221,0.007425,-0.001825,0.00038,0.01081,-0.001626,0.001248,-0.000371,0.004807,0.003133,-0.000958
Alevi_Dersim:Alevi_Dersim03,0.099026,0.11577,-0.057699,-0.039729,-0.044931,-0.007809,0.00799,-0.005538,-0.031701,-0.003462,-0.003897,0.000599,-0.004014,0.003028,0.005293,-0.005569,-0.019297,0.003801,0.006662,-0.012756,-0.004243,-0.00507,0.003204,-0.004699,0.003952
Alevi_Dersim:Alevi_Dersim04,0.099026,0.111708,-0.060716,-0.035207,-0.037853,-0.005857,0.007755,-0.001615,-0.035792,-0.014943,0.000162,-0.002698,0.003122,-0.005505,0.0038,0.009679,0.00326,0.003294,-0.003268,-0.004127,0.004367,-0.003957,-0.000493,-0.006507,0.008143
Alevi_Dersim:Alevi_Dersim05,0.100164,0.106631,-0.059208,-0.041344,-0.036314,-0.009482,0.004465,-0.006231,-0.027815,-0.00656,0.000812,0.003747,0.000892,0.001927,-0.000136,-0.008088,-0.014994,0.002787,0.000503,-0.008379,0.001996,-0.010634,-0.000986,-0.012291,0.006347
Alevi_Dersim:Alevi_Dersim06,0.099026,0.112724,-0.053551,-0.037468,-0.03416,-0.006136,0.003055,-0.005769,-0.026588,-0.012574,0.003573,0.00045,0.001041,0.002064,0.002579,0.00053,-0.019558,0.008742,0.004274,-0.013506,-0.007362,-0.003462,-0.002465,-0.003012,0.000838
Alevi_Dersim:Alevi_Dersim07,0.09675,0.108662,-0.056945,-0.036822,-0.043085,-0.003068,0.004465,-0.009461,-0.023111,-0.012028,-0.002111,-0.003447,0.003717,-0.00055,0.001764,0.01485,-0.005215,0.000507,0.002263,-0.008129,0.003619,-0.012365,0.003081,0.001325,0.001317
Alevi_Dersim:Alevi_Dersim08,0.09675,0.116786,-0.057322,-0.036822,-0.036314,-0.002789,0.004465,-0.003923,-0.034769,-0.012939,0.007957,0.006594,-0.002825,-0.001376,0.001086,0.007558,-0.000391,-0.000507,-0.002263,-0.01088,-0.002371,0.001607,-0.005669,0.001807,0.008861
